,Review,Label,Review_Clean,absa,polarity
10,"Délicieux! Merci Marcel food is really delicious. I really recommend the duck parmentier and the Croque Marcel. Ingredients are fresh, the portion are prefect and the presentation is nice as well. The French cuttelry brings a nice touch …",POSITIVE,"délicieux! merci marcel food is really delicious. i really recommend the duck parmentier and the croque marcel. ingredients are fresh, the portion are prefect and the presentation is nice as well. the french cuttelry brings a nice touch  ","[['délicieux', []], ['mercimarcel', ['marcelfood']], ['marcelfood', ['mercimarcel', 'delicious']], ['croquemarcel', []], ['portion', ['prefect']], ['prefect', ['portion']], ['presentation', ['nice']], ['cuttelry', ['french', 'brings']]]","[['mercimarcel', 'NEUTRAL'], ['marcelfood', 'POSITIVE'], ['portion', 'NEUTRAL'], ['prefect', 'NEUTRAL'], ['presentation', 'POSITIVE'], ['cuttelry', 'NEGATIVE']]"
11,"I have been to Miyu several times and the food is always fresh. The staff are all very friendly and they make the dining experience enjoyable. When presenting the sushi, the chef will say the Japanese name followed by English. I feel that …",POSITIVE,"i have been to miyu several times and the food is always fresh. the staff are all very friendly and they make the dining experience enjoyable. when presenting the sushi, the chef will say the japanese name followed by english. i feel that  ","[['food', ['fresh']], ['staff', ['friendly']], ['diningexperience', ['make']], ['enjoyable', ['make']], ['sushi', ['presenting']], ['name', ['japanese', 'say']], ['feel', ['i', 'that']]]","[['food', 'NEGATIVE'], ['staff', 'POSITIVE'], ['diningexperience', 'POSITIVE'], ['enjoyable', 'POSITIVE'], ['sushi', 'POSITIVE'], ['name', 'POSITIVE'], ['feel', 'NEGATIVE']]"
12,Great service and good food,POSITIVE,great service and good food,"[['service', ['great']], ['food', ['good']]]","[['service', 'POSITIVE'], ['food', 'POSITIVE']]"
13,Great food and service! Absolutely loved the schnitzel and flatbread pizza. Came for my birthday and they even served a complimentary soufflé. Thank you!,POSITIVE,great food and service! absolutely loved the schnitzel and flatbread pizza. came for my birthday and they even served a complimentary soufflé. thank you!,"[['food', ['great']], ['service', []], ['pizza', ['schnitzel', 'loved']], ['soufflé', ['complimentary', 'served']], ['thank', ['you']]]","[['food', 'POSITIVE'], ['pizza', 'POSITIVE'], ['soufflé', 'POSITIVE'], ['thank', 'NEUTRAL']]"
14,"Great food and great service.  I was served by Paul. He was amazing explaining the food and recommended a great wine.
Highly recommended, and hope you had Mr Paul service, it will make your meal enjoyable.",POSITIVE,"great food and great service.  i was served by paul. he was amazing explaining the food and recommended a great wine.
highly recommended, and hope you had mr paul service, it will make your meal enjoyable.","[['food', ['great']], ['service', ['great']], ['paul', []], ['food', ['explaining']], ['wine', ['great', 'recommended']], ['mr', ['service']], ['paul', ['service']], ['service', ['mr', 'paul', 'had']], ['meal', ['make']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE'], ['food', 'POSITIVE'], ['wine', 'POSITIVE'], ['mr', 'NEGATIVE'], ['paul', 'NEGATIVE'], ['service', 'NEGATIVE'], ['meal', 'POSITIVE']]"
15,Nice ambiance in the middle of Fort Canning.,POSITIVE,nice ambiance in the middle of fort canning.,"[['ambiance', ['nice']], ['middle', []], ['fortcanning', []]]","[['ambiance', 'POSITIVE']]"
16,Great food,POSITIVE,great food,"[['food', ['great']]]","[['food', 'POSITIVE']]"
17,Yum! What else can I say? The best noodles I have had.,POSITIVE,yum! what else can i say? the best noodles i have had.,"[['yum', []]]",[]
18,Good food. Friendly people. Food portion is good. The best Turkish food by far that I have tried..,POSITIVE,good food. friendly people. food portion is good. the best turkish food by far that i have tried..,"[['good', ['food']], ['food', ['good']], ['foodportion', ['good']], ['good', ['foodportion']], ['food', ['best', 'turkish', 'far', 'tried']]]","[['good', 'NEGATIVE'], ['food', 'POSITIVE'], ['foodportion', 'POSITIVE'], ['good', 'NEUTRAL'], ['food', 'POSITIVE']]"
19,Had the most pleasurable experience hosting my wedding here. Many good reviews from my guest about good food and good service. Big thanks to the banquet staff and Jack for the immense support in making the event such a success!,POSITIVE,had the most pleasurable experience hosting my wedding here. many good reviews from my guest about good food and good service. big thanks to the banquet staff and jack for the immense support in making the event such a success!,"[['experience', ['pleasurable', 'had']], ['wedding', ['hosting']], ['food', ['good']], ['service', ['good']], ['staff', ['banquet']], ['jack', []], ['support', ['immense']], ['event', ['making']], ['success', ['making']]]","[['experience', 'POSITIVE'], ['wedding', 'NEUTRAL'], ['food', 'POSITIVE'], ['service', 'POSITIVE'], ['staff', 'POSITIVE'], ['support', 'NEGATIVE'], ['event', 'POSITIVE'], ['success', 'POSITIVE']]"
20,"Cool place for a meal. Food is mainly Szechuan style.

Good and friendly service. …",POSITIVE,"cool place for a meal. food is mainly szechuan style.

good and friendly service.  ","[['place', ['cool']], ['meal', []], ['food', ['style']], ['style', ['food', 'mainly', 'szechuan']], ['service', ['good']]]","[['place', 'POSITIVE'], ['food', 'POSITIVE'], ['style', 'NEGATIVE'], ['service', 'POSITIVE']]"
21,Absolutely legendary place! Great food and great atmosphere. Must go!,POSITIVE,absolutely legendary place! great food and great atmosphere. must go!,"[['place', ['legendary']], ['food', ['great']], ['atmosphere', ['great']]]","[['place', 'POSITIVE'], ['food', 'POSITIVE'], ['atmosphere', 'POSITIVE']]"
22,"My first visit to Les Amis was a hosted event. This restaurant is absolutely charming, with a selection of very exquisite champagne, wine and food. Every dish was prepared with absolute dedication. Teasing every corner of our tastebuds. I enjoyed every moment of the dining and look forward to returning to Les Amis again.",POSITIVE,"my first visit to les amis was a hosted event. this restaurant is absolutely charming, with a selection of very exquisite champagne, wine and food. every dish was prepared with absolute dedication. teasing every corner of our tastebuds. i enjoyed every moment of the dining and look forward to returning to les amis again.","[['visit', ['first', 'event']], ['event', ['visit', 'hosted']], ['restaurant', ['charming']], ['selection', []], ['champagne', ['exquisite']], ['food', []], ['dish', []], ['dedication', ['absolute']], ['corner', ['teasing']], ['tastebuds', []], ['moment', ['enjoyed']]]","[['visit', 'POSITIVE'], ['event', 'NEGATIVE'], ['restaurant', 'POSITIVE'], ['champagne', 'POSITIVE'], ['dedication', 'NEGATIVE'], ['corner', 'NEGATIVE'], ['moment', 'POSITIVE']]"
23,I like this place.,POSITIVE,i like this place.,"[['place', ['like']]]","[['place', 'POSITIVE']]"
24,"Beautiful view of the sunset and the city , food is great , customer service excellent, big thanks to the Filipino staff on the reservation and at the restaurant will be back for the steak 🥩👍 …",POSITIVE,"beautiful view of the sunset and the city , food is great , customer service excellent, big thanks to the filipino staff on the reservation and at the restaurant will be back for the steak   ","[['view', ['beautiful']], ['city', []], ['food', ['great']], ['serviceexcellent', ['customerservice']], ['staff', ['filipino']], ['reservation', []], ['restaurant', []], ['steak', []]]","[['view', 'POSITIVE'], ['food', 'POSITIVE'], ['serviceexcellent', 'NEUTRAL'], ['staff', 'NEUTRAL']]"
25,"Wow. Zen was a joy to dine at from the moment I stepped thru their nondescript door, nestled amongst gentrified shophouses. The experience starts off on the ground floor with gin aperitifs from their impressive selection, and various …",POSITIVE,"wow. zen was a joy to dine at from the moment i stepped thru their nondescript door, nestled amongst gentrified shophouses. the experience starts off on the ground floor with gin aperitifs from their impressive selection, and various  ","[['wow', []], ['zen', ['joy']], ['joy', ['zen']], ['dine', []], ['momenti', []], ['door', ['nondescript']], ['amongst', []], ['experience', ['starts']], ['gin', ['aperitifs']], ['selection', ['impressive']]]","[['zen', 'POSITIVE'], ['joy', 'NEUTRAL'], ['door', 'POSITIVE'], ['experience', 'NEGATIVE'], ['gin', 'NEUTRAL'], ['selection', 'POSITIVE']]"
26,"Had a great first time dining experience here. Food was good, made even better by the service from the staff. Big shout out to the Chinese lady (sorry didn't get her name) who celebrated enthusiastically with us by dancing along to the birthday song 😄 Big thumbs up for the overall service. …",POSITIVE,"had a great first time dining experience here. food was good, made even better by the service from the staff. big shout out to the chinese lady (sorry did not get her name) who celebrated enthusiastically with us by dancing along to the birthday song  big thumbs up for the overall service.  ","[['time', ['first', 'experience']], ['experience', ['great', 'time', 'dining', 'had', 'here']], ['food', ['good']], ['good', ['food']], ['service', []], ['staff', []], ['shout', ['big', 'celebrated']], ['lady', ['chinese']], ['name', ['get']], ['service', ['overall']]]","[['time', 'POSITIVE'], ['experience', 'POSITIVE'], ['food', 'POSITIVE'], ['good', 'NEGATIVE'], ['shout', 'POSITIVE'], ['lady', 'NEUTRAL'], ['name', 'POSITIVE'], ['service', 'NEGATIVE']]"
27,"Food was okay but the atmosphere is amazing.

Scallions fried rice tasted good. If this is available at a hawker centre, can anyone recommend me a place to get them? They have a really unique presentation.",POSITIVE,"food was okay but the atmosphere is amazing.

scallions fried rice tasted good. if this is available at a hawker centre, can anyone recommend me a place to get them? they have a really unique presentation.","[['food', ['okay']], ['okay', ['food']], ['rice', ['scallions', 'fried', 'tasted']], ['hawkercentre', []], ['anyone', ['recommend']], ['recommend', ['anyone', 'place']], ['place', ['recommend']], ['presentation', ['unique', 'have']]]","[['food', 'POSITIVE'], ['okay', 'NEGATIVE'], ['rice', 'NEGATIVE'], ['anyone', 'POSITIVE'], ['recommend', 'POSITIVE'], ['place', 'POSITIVE'], ['presentation', 'POSITIVE']]"
28,Definitely one of the top restaurants if not the best peranakan restaurant I have eaten at in Singapore. This place is beautifully decorated. The restaurant chain has put much thought into the decor to creat a very pleasant environment for …,POSITIVE,definitely one of the top restaurants if not the best peranakan restaurant i have eaten at in singapore. this place is beautifully decorated. the restaurant chain has put much thought into the decor to creat a very pleasant environment for  ,"[['top', ['restaurants']], ['restauranti', ['best', 'peranakanrestaurant', 'eaten']], ['place', []], ['restaurantchain', ['put']], ['creat', ['environment']], ['environment', ['pleasant', 'creat']]]","[['top', 'NEUTRAL'], ['restauranti', 'POSITIVE'], ['restaurantchain', 'POSITIVE'], ['creat', 'NEUTRAL'], ['environment', 'POSITIVE']]"
29,Nice ambience,POSITIVE,nice ambience,"[['ambience', ['nice']]]","[['ambience', 'POSITIVE']]"
30,Excellent!! Never disappoints which is hard to find these days. Highly recommend for anybody who has an appreciation for fine dining cuisine.,POSITIVE,excellent!! never disappoints which is hard to find these days. highly recommend for anybody who has an appreciation for fine dining cuisine.,"[['excellent', []], ['anybody', ['has']], ['appreciation', ['has']], ['diningcuisine', ['fine']]]","[['anybody', 'NEGATIVE'], ['appreciation', 'NEGATIVE'], ['diningcuisine', 'POSITIVE']]"
31,Surprise find on chope! The dishes seem innovative and intriguing. The taste is decently good. …,POSITIVE,surprise find on chope! the dishes seem innovative and intriguing. the taste is decently good.  ,"[['surprisefind', []], ['chope', []], ['intriguing', []], ['taste', ['good']]]","[['taste', 'POSITIVE']]"
32,Loved the calamari and the carbonara.,POSITIVE,loved the calamari and the carbonara.,"[['carbonara', []]]",[]
33,"Amazing meat with super nice french owner.
Very relaxed atmosphere.",POSITIVE,"amazing meat with super nice french owner.
very relaxed atmosphere.","[['meat', ['amazing']], ['owner', ['nice', 'french']], ['relaxed', ['very', 'atmosphere']]]","[['meat', 'POSITIVE'], ['owner', 'POSITIVE'], ['relaxed', 'POSITIVE']]"
34,Had a good time &amp; special thanks to Mr Raj &amp; Mr Siva  for the anniversary tart &amp; good service.,POSITIVE,had a good time &amp; special thanks to mr raj &amp; mr siva  for the anniversary tart &amp; good service.,"[['time', ['good', 'had']], ['amp', []], ['raj', []], ['amp', []], ['tart', ['anniversary']], ['amp', []], ['service', ['good']]]","[['time', 'POSITIVE'], ['tart', 'NEUTRAL'], ['service', 'POSITIVE']]"
35,"Was surprised at the value of money for set lunch. 48 dollar for a beautiful 4-course meal, from which you can get wagyu salad as appetizer, sea urchin pasta and medium done lamb as main and cheese platter as dessert to wrap up. Food was …",POSITIVE,"was surprised at the value of money for set lunch. 48 dollar for a beautiful 4-course meal, from which you can get wagyu salad as appetizer, sea urchin pasta and medium done lamb as main and cheese platter as dessert to wrap up. food was  ","[['value', []], ['money', []], ['lunch', ['set']], ['dollar', []], ['meal', []], ['appetizer', ['wagyu']], ['sea', ['and']], ['pasta', []], ['medium', ['urchin', 'as']], ['lamb', []], ['platter', []], ['dessert', ['main']], ['wrap', []], ['food', ['was']]]","[['lunch', 'POSITIVE'], ['appetizer', 'NEUTRAL'], ['sea', 'NEUTRAL'], ['medium', 'NEGATIVE'], ['dessert', 'POSITIVE'], ['food', 'POSITIVE']]"
36,Had a memorable birthday lunch at Lawry’s. Services is good and the food is awesome! Live station of salad and meat cutting.  Recommend for couples  And even families as I Saw a Waitress even made effort to communicate with children. Love …,POSITIVE,had a memorable birthday lunch at lawry s. services is good and the food is awesome! live station of salad and meat cutting.  recommend for couples  and even families as i saw a waitress even made effort to communicate with children. love  ,[],[]
37,"The food, ambience, service staff, everything here was superb. Tried the Orechiette ($30) and Ravioli ($28) which were excellent. The noodles were textbook al dante and the flavours were great. Especially loved the Orechiette because it had …",POSITIVE,"the food, ambience, service staff, everything here was superb. tried the orechiette ($30) and ravioli ($28) which were excellent. the noodles were textbook al dante and the flavours were great. especially loved the orechiette because it had  ","[['food', ['superb']], ['ambience', []], ['servicestaff', []], ['everything', ['here']], ['superb', ['food']], ['orechiette', ['tried', 'excellent']], ['ravioli', []], ['excellent', ['which', 'orechiette']], ['dante', ['noodles', 'textbook', 'al']], ['orechiette', ['loved']]]","[['food', 'POSITIVE'], ['everything', 'NEUTRAL'], ['superb', 'NEGATIVE'], ['orechiette', 'POSITIVE'], ['excellent', 'NEUTRAL'], ['dante', 'NEUTRAL'], ['orechiette', 'POSITIVE']]"
38,"Very nice restaurant. Food is tasty, great ambiance and service. Highly recommend!",POSITIVE,"very nice restaurant. food is tasty, great ambiance and service. highly recommend!","[['restaurant', ['nice']], ['food', ['tasty']], ['tasty', ['food']], ['ambiance', ['great']], ['service', []], ['recommend', ['highly']]]","[['restaurant', 'POSITIVE'], ['food', 'POSITIVE'], ['tasty', 'NEGATIVE'], ['ambiance', 'POSITIVE'], ['recommend', 'POSITIVE']]"
39,Good one 🌟🌟🌟🌟🌟 …,POSITIVE,good one   ,[],[]
40,This is the best restaurant for Peranakan in Singapore that I’ve ever been so far. The services are great too! Highly recommended!,POSITIVE,this is the best restaurant for peranakan in singapore that i ve ever been so far. the services are great too! highly recommended!,"[['restaurant', ['this', 'best', 'far']], ['peranakan', []]]","[['restaurant', 'POSITIVE']]"
41,Nice food. Friendly staff.,POSITIVE,nice food. friendly staff.,"[['food', ['nice']], ['staff', ['friendly']]]","[['food', 'POSITIVE'], ['staff', 'POSITIVE']]"
42,Incredibly delicious food and awesome service. Highly recommended :),POSITIVE,incredibly delicious food and awesome service. highly recommended :),"[['food', ['delicious']], ['service', ['awesome']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE']]"
43,"Amazing taste, you have to go try! Good speedy service, nice to just have veggie dishes. All great flavour and good service. If you have to time go eat here. …",POSITIVE,"amazing taste, you have to go try! good speedy service, nice to just have veggie dishes. all great flavour and good service. if you have to time go eat here.  ","[['taste', ['amazing']], ['try', ['go']], ['speedyservice', ['good']], ['veggie', ['dishes']], ['service', ['good']], ['time', ['go']], ['eat', ['go', 'here']]]","[['taste', 'POSITIVE'], ['try', 'POSITIVE'], ['speedyservice', 'POSITIVE'], ['veggie', 'POSITIVE'], ['service', 'POSITIVE'], ['time', 'POSITIVE'], ['eat', 'POSITIVE']]"
44,"The food is delicious albeit to me, it's not filling enough.  Love the pasta!",POSITIVE,"the food is delicious albeit to me, it is not filling enough.  love the pasta!","[['food', ['delicious']], ['albeit', ['delicious']], ['love', ['pasta']], ['pasta', ['love']]]","[['food', 'POSITIVE'], ['albeit', 'POSITIVE'], ['love', 'NEUTRAL'], ['pasta', 'POSITIVE']]"
45,"First time eating Lawry's, it was in Los Angeles almost 23 years ago. The taste still the same, really amazing, the most I like it's lawrys cut. It's big, tender and juicy especially the brown sauce, never enough. …",POSITIVE,"first time eating lawry's, it was in los angeles almost 23 years ago. the taste still the same, really amazing, the most i like it is lawrys cut. it is big, tender and juicy especially the brown sauce, never enough.  ","[['time', ['first']], ['lawry', ['eating']], ['los', ['angeles']], ['taste', ['same']], ['cut', ['most']], ['tender', []], ['juicy', []], ['sauce', ['especially', 'brown']]]","[['time', 'POSITIVE'], ['lawry', 'POSITIVE'], ['los', 'NEUTRAL'], ['taste', 'NEGATIVE'], ['cut', 'NEUTRAL'], ['sauce', 'NEGATIVE']]"
46,"Fantastic quality, value, service. Staff and manager for the weekend champagne brunches deliver excellent service but also enforcing COVID-19 guidelines. Well done!",POSITIVE,"fantastic quality, value, service. staff and manager for the weekend champagne brunches deliver excellent service but also enforcing covid-19 guidelines. well done!",[],[]
47,Love the outside bar! Great staff too,POSITIVE,love the outside bar! great staff too,"[['bar', ['outside', 'love']], ['staff', ['great', 'too']]]","[['bar', 'POSITIVE'], ['staff', 'POSITIVE']]"
48,Great food with great ambience!,POSITIVE,great food with great ambience!,"[['food', ['great']], ['ambience', ['great']]]","[['food', 'POSITIVE'], ['ambience', 'POSITIVE']]"
49,He obviously served him well and the food was delicious.,POSITIVE,he obviously served him well and the food was delicious.,"[['food', ['delicious']]]","[['food', 'POSITIVE']]"
50,Lovely ambience and delicious Spanish food. The service is awesome.,POSITIVE,lovely ambience and delicious spanish food. the service is awesome.,"[['food', ['delicious', 'spanish']], ['service', ['awesome']], ['awesome', ['service']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE'], ['awesome', 'NEGATIVE']]"
51,"Italian restaurant with good service
and good food. Accompanied by good wines.",POSITIVE,"italian restaurant with good service
and good food. accompanied by good wines.","[['restaurant', ['italian']], ['service', ['good']], ['food', ['good']]]","[['restaurant', 'NEUTRAL'], ['service', 'POSITIVE'], ['food', 'POSITIVE']]"
52,It was a pleasant experience for my wife and I. We are impressed at the level of attentiveness of Sugan to our needs as he keeps constantly making sure we are well taken care of our dining needs. The food was created with depth and multi …,POSITIVE,it was a pleasant experience for my wife and i. we are impressed at the level of attentiveness of sugan to our needs as he keeps constantly making sure we are well taken care of our dining needs. the food was created with depth and multi  ,"[['experience', ['it', 'pleasant']], ['wife', []], ['i.', []], ['level', []], ['attentiveness', []], ['care', ['taken']], ['food', []], ['depth', []], ['multi', []]]","[['experience', 'POSITIVE'], ['care', 'POSITIVE']]"
53,"Stopped by for dessert on a Saturday night. Had the sticky date pudding, pandan gula melaka latte and pulut hitam pannacotta. …",POSITIVE,"stopped by for dessert on a saturday night. had the sticky date pudding, pandan gula melaka latte and pulut hitam pannacotta.  ","[['dessert', []], ['saturday', ['night']], ['night', ['saturday']], ['datepudding', ['sticky', 'had']], ['pandangula', []], ['gulamelaka', []], ['melakalatte', []], ['puluthitam', []], ['hitampannacotta', []]]","[['saturday', 'NEGATIVE'], ['night', 'NEUTRAL'], ['datepudding', 'NEGATIVE']]"
54,"Absolutely thrilled to discover this place, might be the best Indian restaurant I've been in. We got the dosai set, bhatura, and 2 chai for 2 of us, it was plenty and we paid only $10 each. This place is a gem. Come early, the queue gets really long at 7-8pm!",POSITIVE,"absolutely thrilled to discover this place, might be the best indian restaurant i have been in. we got the dosai set, bhatura, and 2 chai for 2 of us, it was plenty and we paid only $10 each. this place is a gem. come early, the queue gets really long at 7-8pm!",[],[]
55,Amazing food and friendly service. Had a good experience here. Will definitely be back with more friends.,POSITIVE,amazing food and friendly service. had a good experience here. will definitely be back with more friends.,"[['food', ['amazing']], ['service', ['friendly']], ['experience', ['good', 'had', 'here']]]","[['food', 'POSITIVE'], ['service', 'POSITIVE'], ['experience', 'POSITIVE']]"
56,"I was very happy with the good service with Joanna Lai, Benjamin, siew Leong.. good location good  food . Nice place to dine in.",POSITIVE,"i was very happy with the good service with joanna lai, benjamin, siew leong.. good location good  food . nice place to dine in.","[['service', ['good']], ['joannalai', []], ['benjamin', []], ['siew', ['leong']], ['location', ['good', 'food']], ['food', ['location', 'good']], ['place', ['nice']], ['dine', []]]","[['service', 'POSITIVE'], ['siew', 'NEUTRAL'], ['location', 'POSITIVE'], ['food', 'POSITIVE'], ['place', 'POSITIVE']]"
57,Fantastic food and service. One of my favourite places in Singapore.,POSITIVE,fantastic food and service. one of my favourite places in singapore.,"[['food', ['fantastic']], ['service', []]]","[['food', 'POSITIVE']]"
58,"Komala Vilas Restaurant, Singapore is one of the oldest and finest restaurants in Singapore which is in Little India. We went for lunch and had a meal and paper masala Dosa which was awesome in taste and the price was very pocket friendly. …",POSITIVE,"komala vilas restaurant, singapore is one of the oldest and finest restaurants in singapore which is in little india. we went for lunch and had a meal and paper masala dosa which was awesome in taste and the price was very pocket friendly.  ","[['komala', ['restaurant']], ['restaurant', ['komala', 'vilas', 'one']], ['finest', []], ['india', ['which', 'little', 'restaurants']], ['meal', ['had', 'awesome']], ['papermasala', ['masaladosa']], ['taste', []], ['price', ['friendly']], ['pocket', []]]","[['komala', 'NEUTRAL'], ['restaurant', 'POSITIVE'], ['india', 'NEGATIVE'], ['meal', 'POSITIVE'], ['papermasala', 'NEUTRAL'], ['price', 'POSITIVE']]"
59,A beautiful place for a meal. Good vibe and wonderful service all round. Mae and Fauzy were excellent hosts - showering us with suggestions and hospitality. We ordered the octopus but the chef decided that it wasn't of a sufficiently good …,POSITIVE,a beautiful place for a meal. good vibe and wonderful service all round. mae and fauzy were excellent hosts - showering us with suggestions and hospitality. we ordered the octopus but the chef decided that it was not of a sufficiently good  ,"[['place', ['beautiful']], ['meal', []], ['vibe', ['good', 'round']], ['service', ['wonderful']], ['round', ['all', 'vibe']], ['mae', ['hosts']], ['fauzy', []], ['hospitality', []], ['octopus', ['ordered']], ['chef', ['decided']]]","[['place', 'POSITIVE'], ['vibe', 'POSITIVE'], ['service', 'POSITIVE'], ['round', 'POSITIVE'], ['mae', 'NEGATIVE'], ['octopus', 'POSITIVE'], ['chef', 'POSITIVE']]"
60,Most flavorful food I ate during my business trip to Singapore. Service was fast and friendly during Saturday lunch. Recommend.,POSITIVE,most flavorful food i ate during my business trip to singapore. service was fast and friendly during saturday lunch. recommend.,"[['foodi', ['iate']], ['iate', ['flavorful', 'foodi']], ['businesstrip', []], ['singapore', []], ['service', ['fast']], ['lunch', ['saturday']], ['recommend', []]]","[['foodi', 'NEUTRAL'], ['iate', 'NEGATIVE'], ['service', 'POSITIVE'], ['lunch', 'NEUTRAL']]"
61,Great atmosphere and drinks.,POSITIVE,great atmosphere and drinks.,[],[]
62,"My best beef steak ever I have it ,amazing vibe and so friendly staff",POSITIVE,"my best beef steak ever i have it ,amazing vibe and so friendly staff","[['beefsteak', ['best']], ['staff', ['friendly']]]","[['beefsteak', 'POSITIVE'], ['staff', 'POSITIVE']]"
63,"Came here on a Sunday for a family birthday celebration and we really enjoyed the experience! The service was personal, ambience 10/10 and both the quality and portion of our meal was really great. We will definitely return again.",POSITIVE,"came here on a sunday for a family birthday celebration and we really enjoyed the experience! the service was personal, ambience 10/10 and both the quality and portion of our meal was really great. we will definitely return again.","[['birthdaycelebration', ['familybirthday']], ['experience', ['enjoyed']], ['service', ['personal']], ['quality', ['great']], ['portion', []], ['meal', []], ['return', ['we', 'definitely', 'again']]]","[['birthdaycelebration', 'NEUTRAL'], ['experience', 'POSITIVE'], ['service', 'POSITIVE'], ['quality', 'POSITIVE'], ['return', 'POSITIVE']]"
